,0
0,51c35178-5e6e-490c-b4a0-4b2522e2f548
1,e8d7e176-8c91-4ec3-8de5-d8c1e400d5de
2,1c4640b4-2051-4b9f-a934-2b26a50d04ec
3,6d782a05-5d6d-4d51-9a3c-971e2cbe2b25
4,e5e0cf53-cb80-4d94-b136-d720f04d648f
5,6b1b8dac-8742-4b67-80c7-423aa51512e7
6,baa9b3ec-a44b-46d8-b0f0-f207f63d11bc
7,d5b1e113-819e-4976-bfc0-2a85feaf75e2
8,c7afc62f-ffda-409c-bd3e-cf559a6b51f7
9,741e08f8-26c9-4524-aba8-efe5822f4a59
10,ed8c8475-df00-43a3-b958-978653476fd4
11,89972977-58dc-438c-aed6-142c94c52ed0
12,5e18b1a4-e933-4e5e-8c58-06e5c0caabd6
13,4527cbd9-dab0-4f7b-981c-b689bbb67356
14,f389bf74-1474-42d8-bdfe-58141e8677fb
15,b8e3f280-76e5-40c5-a69b-1e6f17fafbbb
16,5e86e3ed-4aa1-4563-a912-2ac945801db5
17,96c68ab1-48af-4024-82d7-0730633f673a
18,7f7ac4f8-eca1-4bb9-8932-f9ccc71ec95d
19,4a96a738-e0ca-46c8-9fc3-1a814b7fbf56
20,07c781f2-6c45-4ce6-83a1-e317973cdb0e
21,938ae4e9-6f4a-48a1-afcf-2e827032befc
22,0381e33c-219e-472a-989e-67911f1e0d9d
23,b2f35bd3-397f-47bd-ac63-ce32765f6175
24,14bf384b-9417-4dc0-80fd-b5950bddd8ef
25,f89dc5b5-980a-4c20-bd66-e05220e60103
26,873cb271-feb0-4703-a65b-ba02058f92b8
27,e6f1d0d9-7949-4e87-add4-8d7e48662353
28,8d61f8d7-e437-47f0-8d2c-a0b89fccdd98
29,3b72a9b8-fb4f-4507-8524-75b6ffcaa177
30,2489ec40-1a43-4ed1-ae82-44a7e9263302
31,1939df4b-2745-44f9-83ff-e62e2d682a0c
32,91c98247-8990-4ec4-8a5a-646646d8cc6a
33,6d687769-7e02-4cc0-a793-321067f6de1a
34,8e5bb23e-9a41-41b8-b9e1-0fd6abdb6249
35,5527cca5-75a7-4f81-806f-6d6dbefc746b
36,0472b6d7-ae65-4349-947d-806c1205e8ca
37,4e82070d-25d8-4c1a-a9c0-fec0a2cbbab7
38,f948fa21-4ec1-450e-88e2-f0cceeee0677
39,3c02c540-61fc-4ce3-801b-dbe9064d683c
40,c6f44c4e-dd1f-4dc9-b3a2-04fd5f87fbcc
41,80e48334-5af2-4258-b57e-9ac61b1ab72e
42,338bf6ea-1acb-4ef3-a5be-4a806ed1a79c
43,e98909fb-6eef-4e4f-9eeb-1c508224fab9
44,86f335d2-abed-4c9c-a226-40bf8f188797
45,00e2dbf5-0b44-468c-abbb-c3bcf13d7f7c
46,95a77a54-67a1-4033-a168-57a051102671
47,494db42a-dc44-4500-be99-66827408b79a
48,0eb9440d-00b3-4f2a-adc2-ba9026834e95
49,e3c71bb7-c422-4ab3-8eef-7459ee236783
50,37c13171-ff52-4d7a-87a5-4f3b1ed43ad3
51,4ddc6d08-01b0-4c40-afc3-51a8d51f8297
52,4e11ba2f-355b-4c9c-b6c0-8a50ae4aa059
53,ebd14145-3c35-4ec5-9cca-cce010f570d0
54,6c100d60-578f-4ee2-8520-2f725ba2dbf9
55,bd2233b1-3d7a-494b-9c28-77fce7fbeee5
56,b3547afe-8b28-4cc9-9bbb-d062d200c96b
57,4ba7d1c3-4c2d-4fe7-9e7c-600dfbaf3115
58,811fb55f-c93a-4995-b277-a3577a12556b
59,6fd95c30-0176-4529-ae09-8b798ecbd1c0
60,327b197e-3573-48db-aad8-f40974b12ecf
